id,name,price,category,description,image,data-ai-hint
ITEM001,"Samosa",150,"Appetizers","Crispy pastry filled with spiced potatoes and peas.","https://placehold.co/600x400.png","samosa pastry"
ITEM002,"Paneer Tikka",250,"Appetizers","Marinated cottage cheese cubes grilled to perfection.","https://placehold.co/600x400.png","paneer cheese"
ITEM003,"Butter Chicken",450,"Main Courses","Tender chicken in a creamy tomato-based sauce.","https://placehold.co/600x400.png","butter chicken"
ITEM004,"Dal Makhani",350,"Main Courses","Slow-cooked black lentils in a rich, buttery sauce.","https://placehold.co/600x400.png","dal soup"
ITEM005,"Gulab Jamun",120,"Desserts","Soft, spongy milk-solid balls soaked in sugar syrup.","https://placehold.co/600x400.png","sweet dessert"
ITEM006,"Mango Lassi",150,"Beverages","A refreshing yogurt-based drink with mango pulp.","https://placehold.co/600x400.png","mango lassi"
ITEM007,"Masala Chai",80,"Beverages","Traditional spiced Indian tea with milk.","https://placehold.co/600x400.png","masala chai"
ITEM008,"Garlic Naan",70,"Breads","Soft flatbread with garlic and butter.","https://placehold.co/600x400.png","garlic naan"
ITEM009,"Jeera Rice",200,"Rice & Biryani","Basmati rice tempered with cumin seeds.","https://placehold.co/600x400.png","jeera rice"
ITEM010,"Veg Hakka Noodles",280,"Indian Chinese","Stir-fried noodles with mixed vegetables in a savory sauce.","https://placehold.co/600x400.png","hakka noodles"
ITEM011,"Gobi Manchurian",260,"Indian Chinese","Crispy cauliflower florets tossed in a tangy Manchurian sauce.","https://placehold.co/600x400.png","gobi manchurian"
ITEM012,"Chicken Biryani",550,"Rice & Biryani","Aromatic basmati rice cooked with chicken and spices.","https://placehold.co/600x400.png","chicken biryani"
ITEM013,"Tandoori Roti",40,"Breads","Whole wheat bread cooked in a tandoor.","https://placehold.co/600x400.png","tandoori roti"
ITEM014,"Chilli Paneer",320,"Indian Chinese","Fried paneer cubes tossed in a spicy chili sauce.","https://placehold.co/600x400.png","chilli paneer"
